name;address;school type;study paths
Andrea Pozzo - Trento;Via Barbacovi, 1;Statale;Lt Studenti  Attivita' Sportive (codice IE40),Ltg  - Indirizzo Costruzioni (codice IE41),Ltg  - Indirizzo Progettazione (codice IE42),Corso Tecnico Indirizzo Cantiere (codice IE44),Geometri (prog. Sirio) (codice TL04),
Antonio Rosmini - Trento;Via B.malfatti, 2;Statale;"Scienze Sociali (codice IA44),Quinquennio Autonom. Linguistico (codice IA51),Socio Psicopedag.(brocca-musica) (codice IE10),Socio Psicopedag Brocca Tedesco (codice IE55),Sociopsicoped Musica e Tedesco (codice IE59),Socio Psicopedag. (pr. ""brocca"") (codice ISFP),"
Antonio Tambosi - Trento;Via Brigata Acqui, 19;Statale;
Bonporti - Trento;Via  S.maria Maddalena 16;Statale;
Collegio Arcivescovile Celestino Endrici;Via Celestino Endrici, 23;Paritaria;
Collegio Arcivescovile Celestino Endrici;Via Celestino Endrici, 23;Paritaria;
Collegio Arcivescovile Celestino Endrici;Via Celestino Endrici, 23;Paritaria;
Delle Arti - Trento;Via Zambra, 3;Statale;Pitt.visual Art-virtual Design-m (codice IC83),Pitt.&visual Art-virt.design-mul (codice ID31),Coreutico (codice ID67),Design Per L'industria (codice ISJJ),Pittura & Visual Art (codice ISJL),Arte dei Metalli e dell'oreficer (codice SD04),Disegnatori di Archit. Arredam. (codice SD19),Decorazione Pittorica (codice SD23),
Galileo Galilei - Trento;Viale N.bolognini, 88;Statale;Scientifico (codice PS00),
Giovanni Prati - Trento;Via Santissima Trinità, 38;Statale;Classico (codice PC00),
Istituto Sacro Cuore;P.zza Santa Teresa Verzeri, 4;Paritaria;
Istituto Sacro Cuore;Piazza Santa Teresa Verzeri, 4;Paritaria;
Leonardo Da Vinci - Trento;Via Giusti, 1/1;Statale;"Linguistico P.pil.   ""da Vinci"" (codice IX89),Scientifico (codice PS00),"
Michelangelo Buonarroti - Trento;Via Brigata Acqui, 13;Statale;"Scient.tecnol.""brocca"" Iti (codice IA39),Chimico (codice TF25),Progetto ""edilizia"" - edilizia (codice TF47),Elettrot. ed Autom. (codice TF51),Meccanica (codice TF52),Meccanica (prog. Sirio) (codice TF68),"
Serale Antonio Tambosi - Trento;Via Brigata Acqui, 19;Statale;
