Name,Count,Percentual
x_id,428,100
building,99,23.1308411214953
name,386,90.1869158878505
opening_hours,66,15.4205607476636
payment_cash,5,1.16822429906542
payment_debit_cards,4,0.934579439252336
shop,428,100
type,1,0.233644859813084
source,18,4.20560747663551
addr_city,82,19.1588785046729
addr_country,49,11.4485981308411
addr_housenumber,86,20.0934579439252
addr_postcode,72,16.8224299065421
addr_street,97,22.6635514018692
operator,51,11.9158878504673
ref_vatin,26,6.07476635514019
brand,55,12.8504672897196
brand_wikidata,52,12.1495327102804
brand_wikipedia,47,10.981308411215
toilets_wheelchair,3,0.700934579439252
wheelchair,37,8.64485981308411
building_part,1,0.233644859813084
website,14,3.27102803738318
addr_province,7,1.63551401869159
addr_state,5,1.16822429906542
building_levels,2,0.467289719626168
cash_withdrawal_purchase_minimum,1,0.233644859813084
cash_withdrawal_type,1,0.233644859813084
level,17,3.97196261682243
parking,1,0.233644859813084
toilets,1,0.233644859813084
toilets_access,1,0.233644859813084
organic,7,1.63551401869159
roof_levels,1,0.233644859813084
phone,22,5.14018691588785
contact_phone,14,3.27102803738318
note,1,0.233644859813084
payment_bancomat,1,0.233644859813084
layer,2,0.467289719626168
fixme,2,0.467289719626168
indoor,4,0.934579439252336
payment_credit_cards,3,0.700934579439252
room,3,0.700934579439252
wheelchair_description,1,0.233644859813084
ref,1,0.233644859813084
created_by,4,0.934579439252336
addr_place,3,0.700934579439252
addr_district,1,0.233644859813084
addr_housename,8,1.86915887850467
alt_name,1,0.233644859813084
payment_coins,1,0.233644859813084
payment_maestro,1,0.233644859813084
fax,1,0.233644859813084
diet_vegetarian,1,0.233644859813084
ref_it_vat,1,0.233644859813084
lastcheck,1,0.233644859813084
entrance,2,0.467289719626168
ref_vat_it,1,0.233644859813084
contact_website,4,0.934579439252336
contact_email,1,0.233644859813084
email,3,0.700934579439252
name_de,1,0.233644859813084
name_it,1,0.233644859813084
diet_vegan,1,0.233644859813084
